LOCATION,TIME,Value
CAN,1980,285763.1373
CAN,1981,323760.4063
CAN,1982,332755.6597
CAN,1983,354774.5219
CAN,1984,389353.8209
CAN,1985,420682.168
CAN,1986,438431.7925
CAN,1987,467676.2532
CAN,1988,505619.2088
CAN,1989,537652.3171
CAN,1990,558639.3508
CAN,1991,565254.6336
CAN,1992,583241.0732
CAN,1993,612913.0322
CAN,1994,654130.2448
CAN,1995,685729.2277
CAN,1996,709534.8507
CAN,1997,752660.1924
CAN,1998,790676.951
CAN,1999,843506.5208
CAN,2000,898018.2639
CAN,2001,933966.6204
CAN,2002,967558.4379
CAN,2003,1019728.639
CAN,2004,1079497.4
CAN,2005,1167581.235
CAN,2006,1237673.687
CAN,2007,1297137.296
CAN,2008,1339060.553
CAN,2009,1304713.536
CAN,2010,1360616.567
CAN,2011,1427466.543
CAN,2012,1464565.336
CAN,2013,1550269.806
CAN,2014,1617564.49
CAN,2015,1591203.724
CAN,2016,1625347.307
CAN,2017,1707282.717
CAN,1970,4543.392079
CAN,1971,4906.484322
CAN,1972,5335.038035
CAN,1973,5946.150068
CAN,1974,6627.279795
CAN,1975,7266.319522
CAN,1976,7959.380674
CAN,1977,8644.524533
CAN,1978,9523.102803
CAN,1979,10600.17439
CAN,1980,11656.34765
CAN,1981,13044.38014
CAN,1982,13248.25529
CAN,1983,13985.97391
CAN,1984,15204.94455
CAN,1985,16278.9366
CAN,1986,16797.97405
CAN,1987,17683.79435
CAN,1988,18872.20004
CAN,1989,19710.98852
CAN,1990,20173.93979
CAN,1991,20160.72212
CAN,1992,20557.45818
CAN,1993,21367.19801
CAN,1994,22555.69967
CAN,1995,23401.88212
CAN,1996,23962.50006
CAN,1997,25167.57511
CAN,1998,26220.27574
CAN,1999,27745.75131
CAN,2000,29265.01223
CAN,2001,30107.95216
CAN,2002,30854.82303
CAN,2003,32227.43706
CAN,2004,33799.77659
CAN,2005,36212.64356
CAN,2006,37999.83104
CAN,2007,39441.13768
CAN,2008,40277.61824
CAN,2009,38797.76918
CAN,2010,40011.92778
CAN,2011,41565.25893
CAN,2012,42145.10409
CAN,2013,44101.43059
CAN,2014,45519.87193
CAN,2015,44406.70191
CAN,2016,44819.11087
CAN,2017,46509.72149
CZE,1990,130818.7375
CZE,1991,119534.3451
CZE,1992,121639.1326
CZE,1993,124598.1884
CZE,1994,130961.1849
CZE,1995,142025.689
CZE,1996,150431.6262
CZE,1997,151786.19
CZE,1998,153452.0233
CZE,1999,157590.9647
CZE,2000,166037.7222
CZE,2001,179347.2711
CZE,2002,185474.0896
CZE,2003,198029.4789
CZE,2004,212091.1078
CZE,2005,224201.3809
CZE,2006,243445.1989
CZE,2007,269055.7953
CZE,2008,289157.1486
CZE,2009,288245.3284
CZE,2010,289800.0366
CZE,2011,302260.2358
CZE,2012,305309.3707
CZE,2013,320535.0972
CZE,2014,339582.5988
CZE,2015,355311.7368
CZE,2016,372257.3969
CZE,2017,402630.1619
CZE,1990,12623.9525
CZE,1991,11595.50223
CZE,1992,11789.24287
CZE,1993,12061.07138
CZE,1994,12670.19469
CZE,1995,13747.8465
CZE,1996,14583.27468
CZE,1997,14731.31443
CZE,1998,14905.5729
CZE,1999,15325.70992
CZE,2000,16163.31699
CZE,2001,17541.46157
CZE,2002,18182.35455
CZE,2003,19411.5128
CZE,2004,20779.14253
CZE,2005,21907.3056
CZE,2006,23712.24244
CZE,2007,26064.50658
CZE,2008,27724.41877
CZE,2009,27474.19799
CZE,2010,27554.74286
CZE,2011,28795.81603
CZE,2012,29051.39042
CZE,2013,30496.02004
CZE,2014,32265.04516
CZE,2015,33701.384
CZE,2016,35234.01708
CZE,2017,38021.54713
DNK,1966,16625.0057
DNK,1967,17777.5366
DNK,1968,19448.1212
DNK,1969,21893.1845
DNK,1970,20946.1345
DNK,1971,22669.2723
DNK,1972,24578.4701
DNK,1973,26986.4466
DNK,1974,29084.717
DNK,1975,31315.8537
DNK,1976,34996.7233
DNK,1977,37866.4045
DNK,1978,41432.184
DNK,1979,46605.6756
DNK,1980,50570.1486
DNK,1981,54986.4477
DNK,1982,60534.8646
DNK,1983,64538.9531
DNK,1984,69653.131
DNK,1985,74732.7565
DNK,1986,79976.6905
DNK,1987,82162.4569
DNK,1988,85049.0915
DNK,1989,88953.5673
DNK,1990,93644.8028
DNK,1991,98160.8625
DNK,1992,102362.6564
DNK,1993,104799.0844
DNK,1994,112744.6317
DNK,1995,118593.7665
DNK,1996,124792.856
DNK,1997,131732.5685
DNK,1998,136921.2409
DNK,1999,141846.3284
DNK,2000,153044.6321
DNK,2001,157814.0956
DNK,2002,164720.3879
DNK,2003,165955.5208
DNK,2004,177855.7558
DNK,2005,185074.4459
DNK,2006,202786.6121
DNK,2007,212824.1067
DNK,2008,226767.5052
DNK,2009,222799.9449
DNK,2010,238548.3037
DNK,2011,247352.2892
DNK,2012,250524.5651
DNK,2013,262368.1157
DNK,2014,270330.6084
DNK,2015,278823.125
DNK,2016,290376.8332
DNK,2017,313363.8552
DNK,1966,3478.762434
DNK,1967,3688.285602
DNK,1968,4005.792223
DNK,1969,4487.227813
DNK,1970,4241.825539
DNK,1971,4567.655114
DNK,1972,4923.571744
DNK,1973,5373.645282
DNK,1974,5765.057887
DNK,1975,6188.903894
DNK,1976,6898.624738
DNK,1977,7440.834053
DNK,1978,8116.00079
DNK,1979,9106.228134
DNK,1980,9869.271777
DNK,1981,10735.34707
DNK,1982,11827.83599
DNK,1983,12620.0534
DNK,1984,13628.08276
DNK,1985,14616.22462
DNK,1986,15620.44737
DNK,1987,16025.44508
DNK,1988,16578.77027
DNK,1989,17333.11912
DNK,1990,18218.83324
DNK,1991,19045.56898
DNK,1992,19795.52434
DNK,1993,20196.39321
DNK,1994,21656.67148
DNK,1995,22675.67237
DNK,1996,23715.86012
DNK,1997,24925.74618
DNK,1998,25819.58153
DNK,1999,26657.8328
DNK,2000,28670.78158
DNK,2001,29459.41676
DNK,2002,30639.9531
DNK,2003,30789.52148
DNK,2004,32917.96331
DNK,2005,34152.878
DNK,2006,37297.51925
DNK,2007,38978.77412
DNK,2008,41282.99749
DNK,2009,40340.38474
DNK,2010,43004.92224
DNK,2011,44407.95138
DNK,2012,44808.54321
DNK,2013,46742.93884
DNK,2014,47905.4773
DNK,2015,49071.29972
DNK,2016,50685.43083
DNK,2017,54337.41204
FIN,1970,15604.1075
FIN,1971,16781.5237
FIN,1972,18861.1968
FIN,1973,21284.1848
FIN,1974,23950.3415
FIN,1975,26641.0904
FIN,1976,28204.0491
FIN,1977,30028.2172
FIN,1978,33078.7563
FIN,1979,38374.4656
FIN,1980,44095.6686
FIN,1981,48893.0428
FIN,1982,53516.5245
FIN,1983,57348.348
FIN,1984,61327.0633
FIN,1985,65504.0402
FIN,1986,68644.9167
FIN,1987,72845.7019
FIN,1988,79344.3176
FIN,1989,86649.9431
FIN,1990,90501.0259
FIN,1991,88027.921
FIN,1992,87040.7
FIN,1993,88448.4831
FIN,1994,93895.811
FIN,1995,99897.7987
FIN,1996,102786.9396
FIN,1997,111938.6521
FIN,1998,121408.9981
FIN,1999,127941.8417
FIN,2000,138478.5256
FIN,2001,144074.0254
FIN,2002,148566.4337
FIN,2003,151098.6672
FIN,2004,162691.0105
FIN,2005,167840.4509
FIN,2006,180964.9146
FIN,2007,199401.5227
FIN,2008,212373.3688
FIN,2009,201969.5903
FIN,2010,207762.3937
FIN,2011,219214.027
FIN,2012,219916.339
FIN,2013,224594.224
FIN,2014,226490.0902
FIN,2015,230967.5564
FIN,2016,240351.6995
FIN,2017,255214.452
FIN,1970,3387.778441
FIN,1971,3638.665155
FIN,1972,4064.9131
FIN,1973,4561.548397
FIN,1974,5105.594006
FIN,1975,5654.60168
FIN,1976,5968.226734
FIN,1977,6336.537421
FIN,1978,6960.285379
FIN,1979,8053.910134
FIN,1980,9226.000345
FIN,1981,10186.05058
FIN,1982,11087.14174
FIN,1983,11810.27801
FIN,1984,12562.3875
FIN,1985,13362.17212
FIN,1986,13957.32517
FIN,1987,14769.71309
FIN,1988,16040.49684
FIN,1989,17454.26298
FIN,1990,18149.57202
FIN,1991,17557.47672
FIN,1992,17263.12972
FIN,1993,17457.85629
FIN,1994,18453.27732
FIN,1995,19557.89159
FIN,1996,20057.55367
FIN,1997,21778.7953
FIN,1998,23558.55207
FIN,1999,24768.53
FIN,2000,26752.9318
FIN,2001,27770.62941
FIN,2002,28567.17181
FIN,2003,28984.97356
FIN,2004,31117.97761
FIN,2005,31993.3762
FIN,2006,34362.81918
FIN,2007,37703.31513
FIN,2008,39969.39226
FIN,2009,37829.81331
FIN,2010,38737.06859
FIN,2011,40683.33742
FIN,2012,40619.93702
FIN,2013,41293.29362
FIN,2014,41462.71674
FIN,2015,42143.51909
FIN,2016,43737.68484
FIN,2017,46333.54852
FRA,1960,84286.6448
FRA,1961,89236.0637
FRA,1962,97734.6616
FRA,1963,104468.6374
FRA,1964,113249.46
FRA,1965,122389.7474
FRA,1966,133414.117
FRA,1967,143803.0559
FRA,1968,157794.7034
FRA,1969,179129.2652
FRA,1970,191563.5576
FRA,1971,211975.3922
FRA,1972,231114.9755
FRA,1973,259246.6145
FRA,1974,294728.7504
FRA,1975,318937.256
FRA,1976,351149.6468
FRA,1977,385888.6095
FRA,1978,429464.0037
FRA,1979,481605.7027
FRA,1980,533399.467
FRA,1981,590112.3763
FRA,1982,642268.9032
FRA,1983,675706.9639
FRA,1984,710681.8979
FRA,1985,745054.357
FRA,1986,777823.6548
FRA,1987,817475.0482
FRA,1988,886452.6914
FRA,1989,961220.5014
FRA,1990,1026359.745
FRA,1991,1072190.59
FRA,1992,1114163.621
FRA,1993,1133390.954
FRA,1994,1184893.151
FRA,1995,1235223.861
FRA,1996,1274620.348
FRA,1997,1333702.888
FRA,1998,1405895.127
FRA,1999,1470523.886
FRA,2000,1589465.72
FRA,2001,1687423.401
FRA,2002,1762925.935
FRA,2003,1751662.757
FRA,2004,1820572.993
FRA,2005,1926880.385
FRA,2006,2063551.068
FRA,2007,2182208.365
FRA,2008,2259255.844
FRA,2009,2244374.848
FRA,2010,2334490.552
FRA,2011,2446474.544
FRA,2012,2474005.287
FRA,2013,2608523.504
FRA,2014,2662032.873
FRA,2015,2719224.521
FRA,2016,2804273.777
FRA,2017,2954840.852
FRA,1960,1807.175059
FRA,1961,1892.960772
FRA,1962,2036.181205
FRA,1963,2138.997489
FRA,1964,2294.496424
FRA,1965,2456.145844
FRA,1966,2654.479048
FRA,1967,2838.087508
FRA,1968,3090.801782
FRA,1969,3480.062658
FRA,1970,3687.886138
FRA,1971,4042.323312
FRA,1972,4368.325089
FRA,1973,4860.904402
FRA,1974,5490.27142
FRA,1975,5913.692353
FRA,1976,6484.877778
FRA,1977,7094.192655
FRA,1978,7860.746123
FRA,1979,8776.733597
FRA,1980,9670.567054
FRA,1981,10638.40592
FRA,1982,11509.16411
FRA,1983,12043.1847
FRA,1984,12604.98923
FRA,1985,13148.86888
FRA,1986,13657.29031
FRA,1987,14275.79848
FRA,1988,15391.40694
FRA,1989,16590.50194
FRA,1990,17618.09505
FRA,1991,18313.0182
FRA,1992,18935.80143
FRA,1993,19179.1345
FRA,1994,19976.28173
FRA,1995,20749.60291
FRA,1996,21335.41475
FRA,1997,22245.06527
FRA,1998,23363.05383
FRA,1999,24311.40386
FRA,2000,26098.31569
FRA,2001,27505.76059
FRA,2002,28528.15611
FRA,2003,28145.9429
FRA,2004,29038.56756
FRA,2005,30504.05878
FRA,2006,32441.18078
FRA,2007,34095.40747
FRA,2008,35102.87043
FRA,2009,34693.23638
FRA,2010,35909.16233
FRA,2011,37447.94954
FRA,2012,37684.19807
FRA,2013,39529.07265
FRA,2014,40144.66488
FRA,2015,40833.48881
FRA,2016,41942.47348
FRA,2017,44032.439
DEU,1970,313702.4032
DEU,1971,339929.9877
DEU,1972,369874.414
DEU,1973,408782.1379
DEU,1974,449533.0251
DEU,1975,486914.3895
DEU,1976,539136.0633
DEU,1977,591801.8566
DEU,1978,652484.8538
DEU,1979,735946.1176
DEU,1980,813729.1941
DEU,1981,895439.7935
DEU,1982,947008.0414
DEU,1983,999574.2915
DEU,1984,1064871.581
DEU,1985,1124121.04
DEU,1986,1172989.951
DEU,1987,1218845.79
DEU,1988,1308619.173
DEU,1989,1412911.538
DEU,1990,1542829.503
DEU,1991,1676481.215
DEU,1992,1747673.948
DEU,1993,1771974.669
DEU,1994,1854286.873
DEU,1995,1926064.599
DEU,1996,1974932.092
DEU,1997,2021708.603
DEU,1998,2083391.176
DEU,1999,2164175.515
DEU,2000,2244219.178
DEU,2001,2344986.955
DEU,2002,2419131.852
DEU,2003,2475198.193
DEU,2004,2592443.766
DEU,2005,2636420.108
DEU,2006,2820716.537
DEU,2007,2998677.856
DEU,2008,3122546.721
DEU,2009,3033861.83
DEU,2010,3204627.104
DEU,2011,3427140.576
DEU,2012,3503684.207
DEU,2013,3647777.594
DEU,2014,3821628.07
DEU,2015,3919280.293
DEU,2016,4110953.334
DEU,2017,4345630.575
DEU,1970,4036.886374
DEU,1971,4338.885541
DEU,1972,4698.906358
DEU,1973,5177.341024
DEU,1974,5691.804468
DEU,1975,6188.619448
DEU,1976,6884.023435
DEU,1977,7571.187317
DEU,1978,8356.405494
DEU,1979,9422.643112
DEU,1980,10392.05642
DEU,1981,11418.80427
DEU,1982,12089.20714
DEU,1983,12795.04226
DEU,1984,13679.20743
DEU,1985,14473.41299
DEU,1986,15098.33892
DEU,1987,15682.92789
DEU,1988,16752.46973
DEU,1989,17958.38095
DEU,1990,19439.91612
DEU,1991,20963.09023
DEU,1992,21710.23538
DEU,1993,21890.82436
DEU,1994,22850.96028
DEU,1995,23688.5005
DEU,1996,24242.40901
DEU,1997,24803.19719
DEU,1998,25580.03064
DEU,1999,26579.73908
DEU,2000,27550.96773
DEU,2001,28766.84563
DEU,2002,29654.21869
DEU,2003,30352.28136
DEU,2004,31826.30826
DEU,2005,32413.54006
DEU,2006,34749.443
DEU,2007,37024.371
DEU,2008,38662.60613
DEU,2009,37695.68517
DEU,2010,39916.13651
DEU,2011,42692.50173
DEU,2012,43564.07389
DEU,2013,45231.97175
DEU,2014,47190.49763
DEU,2015,47979.24141
DEU,2016,49921.10814
DEU,2017,52574.25959
GRC,1960,6847.8661
GRC,1961,10059.6509
GRC,1962,10327.582
GRC,1963,11720.0603
GRC,1964,13052.8407
GRC,1965,14862.2163
GRC,1966,16379.7353
GRC,1967,17805.3338
GRC,1968,20016.1566
GRC,1969,23485.9072
GRC,1970,27489.175
GRC,1971,31147.3838
GRC,1972,35795.2314
GRC,1973,40812.1889
GRC,1974,41620.7158
GRC,1975,48371.248
GRC,1976,54530.0548
GRC,1977,59621.5783
GRC,1978,68439.8652
GRC,1979,76550.6565
GRC,1980,84030.6767
GRC,1981,90552.6697
GRC,1982,95058.2043
GRC,1983,97715.9403
GRC,1984,103276.7925
GRC,1985,109216.6181
GRC,1986,111992.8841
GRC,1987,112169.5847
GRC,1988,121105.6305
GRC,1989,130635.8114
GRC,1990,135525.9466
GRC,1991,144452.4853
GRC,1992,148778.636
GRC,1993,149866.761
GRC,1994,156128.3236
GRC,1995,162749.068
GRC,1996,171112.0481
GRC,1997,182884.6284
GRC,1998,193328.405
GRC,1999,198711.939
GRC,2000,210917.4283
GRC,2001,227708.8165
GRC,2002,246559.281
GRC,2003,260854.3971
GRC,2004,278668.875
GRC,2005,281028.3963
GRC,2006,314295.4927
GRC,2007,323631.2287
GRC,2008,341817.8292
GRC,2009,337268.7866
GRC,2010,313048.1016
GRC,2011,290296.6852
GRC,2012,279267.2732
GRC,2013,286168.6393
GRC,2014,292335.7415
GRC,2015,291109.1186
GRC,2016,293902.9558
GRC,2017,307366.2974
GRC,1970,3094.18256
GRC,1971,3490.886431
GRC,1972,3985.624455
GRC,1973,4523.876381
GRC,1974,4596.495459
GRC,1975,5292.432681
GRC,1976,5887.526017
GRC,1977,6339.760168
GRC,1978,7183.216331
GRC,1979,7935.23367
GRC,1980,8624.833248
GRC,1981,9212.073753
GRC,1982,9610.12929
GRC,1983,9821.619924
GRC,1984,10329.20043
GRC,1985,10881.43916
GRC,1986,11121.17668
GRC,1987,11100.84152
GRC,1988,11942.23326
GRC,1989,12814.35818
GRC,1990,13201.05554
GRC,1991,13952.44545
GRC,1992,14265.88055
GRC,1993,14291.4125
GRC,1994,14821.27948
GRC,1995,15408.68594
GRC,1996,16129.22379
GRC,1997,17154.04524
GRC,1998,18033.414
GRC,1999,18464.72645
GRC,2000,19518.91636
GRC,2001,20963.52014
GRC,2002,22615.95744
GRC,2003,23870.07915
GRC,2004,25437.21851
GRC,2005,25577.44544
GRC,2006,28519.44506
GRC,2007,29291.87292
GRC,2008,30855.93577
GRC,2009,30365.36039
GRC,2010,28148.30688
GRC,2011,26141.09103
GRC,2012,25284.40578
GRC,2013,26097.79752
GRC,2014,26838.58227
GRC,2015,26902.32761
GRC,2016,27273.87303
GRC,2017,28543.9068
HUN,1991,86215.4664
HUN,1992,85478.2364
HUN,1993,86999.3405
HUN,1994,91475.8622
HUN,1995,94785.0834
HUN,1996,96312.4672
HUN,1997,101077.3467
HUN,1998,106890.6752
HUN,1999,111535.3534
HUN,2000,121285.6323
HUN,2001,134791.6089
HUN,2002,147803.5424
HUN,2003,156686.9402
HUN,2004,164196.2501
HUN,2005,172304.9683
HUN,2006,184285.4381
HUN,2007,191362.818
HUN,2008,207576.4765
HUN,2009,206985.3806
HUN,2010,215349.1695
HUN,2011,227766.3138
HUN,2012,229105.5356
HUN,2013,242025.7031
HUN,2014,251774.7606
HUN,2015,259425.9339
HUN,2016,263522.4647
HUN,2017,281880.1338
HUN,1991,8333.217321
HUN,1992,8279.565707
HUN,1993,8451.461093
HUN,1994,8914.90714
HUN,1995,9176.629355
HUN,1996,9340.533809
HUN,1997,9822.407481
HUN,1998,10411.52744
HUN,1999,10894.75229
HUN,2000,11877.97246
HUN,2001,13230.97947
HUN,2002,14549.58617
HUN,2003,15468.29911
HUN,2004,16245.56033
HUN,2005,17081.77436
HUN,2006,18297.95133
HUN,2007,19030.13173
HUN,2008,20678.67991
HUN,2009,20651.76182
HUN,2010,21534.86742
HUN,2011,22841.21034
HUN,2012,23094.47333
HUN,2013,24464.13596
HUN,2014,25518.22604
HUN,2015,26356.31372
HUN,2016,26851.62494
HUN,2017,28798.64252
ISL,1970,774.3391
ISL,1971,919.8534
ISL,1972,1018.8952
ISL,1973,1147.8757
ISL,1974,1322.5649
ISL,1975,1454.4064
ISL,1976,1625.8914
ISL,1977,1879.267
ISL,1978,2132.4748
ISL,1979,2421.6478
ISL,1980,2792.164
ISL,1981,3186.7177
ISL,1982,3456.5021
ISL,1983,3514.6182
ISL,1984,3791.774
ISL,1985,4040.4925
ISL,1986,4380.327
ISL,1987,4872.2259
ISL,1988,5039.5647
ISL,1989,5250.6676
ISL,1990,5510.9158
ISL,1991,5684.5466
ISL,1992,5617.9309
ISL,1993,5826.5724
ISL,1994,6165.7546
ISL,1995,6302.379
ISL,1996,6568.8442
ISL,1997,7296.1728
ISL,1998,7861.9233
ISL,1999,8189.1724
ISL,2000,8354.7556
ISL,2001,9054.9035
ISL,2002,9351.4048
ISL,2003,9443.9894
ISL,2004,10400.1914
ISL,2005,11048.3553
ISL,2006,11876.039
ISL,2007,12824.1302
ISL,2008,13749.8517
ISL,2009,13346.8168
ISL,2010,12587.0994
ISL,2011,13005.319
ISL,2012,13446.4487
ISL,2013,14296.6258
ISL,2014,14966.3831
ISL,2015,16119.8745
ISL,2016,17638.6847
ISL,2017,18997.6039
ISL,1970,3793.827178
ISL,1971,4463.31459
ISL,1972,4868.690666
ISL,1973,5405.22739
ISL,1974,6142.2083
ISL,1975,6670.64048
ISL,1976,7385.950387
ISL,1977,8471.921505
ISL,1978,9537.561886
ISL,1979,10727.16949
ISL,1980,12237.6919
ISL,1981,13807.08969
ISL,1982,14771.56576
ISL,1983,14827.04748
ISL,1984,15832.17411
ISL,1985,16737.54039
ISL,1986,18010.54635
ISL,1987,19808.85608
ISL,1988,20167.5357
ISL,1989,20774.48334
ISL,1990,21629.41646
ISL,1991,22036.11571
ISL,1992,21516.14835
ISL,1993,22088.50591
